drug,slang list
tramadol,"['ralivia', 'tamadol', 'tramadole', 'started taking tramadol', 'tromadol', 'traumacet', 'granmal', 'taking tramadol daily', 'tramdol', 'ultracet', 'tramadol er', 'mild pain meds', 'trashadol', 'tramasol', 'bromadol', 'tranadol', 'stronger meds', 'ultracal', 'trammadol', '150 mg tramadol', 'tramidol', 'tramodol', 'traumadol', 'tramado', 'tramedol', 'ultratex', 'tramadoll', 'tramadol', 'ultram', 'tramadol works great', 'ultrez', 'conzip', 'tramol', 'tremadol', 'zaldiar', 'tramadol abuse', 'tremedol', 'ultradex', 'tramadols', 'tramadol hcl', 'start taking tramadol', 'updram', 'tramalol', 'tramjet', 'trasman', 'tramadol hydrochloride', 'tramacet', 'ultran', '300 mg tramadol', 'tramadol withdrawal sucks', 'ultrams', 'tramadal', 'tramal', 'trazadon', 'tridural', 'oral tramadol', 'ultracets']"
morphine,"['morhphine', 'addicting drug', 'kapanol', 'morphine base', '60mg morphine pills', 'morphines', '1sir', '100mg oral morphine', 'morphinate', 'kadian', 'morphin', 'morphine sulfate', 'mscontins', 'morephine', 'oromorph', 'moprhine', 'msir', 'morphine with saline solution', '15mg morphine sulfate', 'eslon', 'trinza', 'morphine treatment', 'roxonol', 'snorting morphine', 'morophine', 'morphine dependence', 'morphium', 'mshc', 'poryphin', 'orphin', 'norphine', 'morphea', 'dymorphia', '9sir', 'morphibe', 'paregoric', 'darphin', 'sevradol', 'morphine produced', 'morphne', 'started taking morphine', 'oxy morphine', 'carpujets', 'javanol', '60mg er morphine', 'mg morphine iv', 'sigr', 'syrettes', 'embeda', 'morinda', 'morphime', 'morphinan', 'duramorph', '6sir', 'laudanum', 'morphine pills left', 'avigra', 'camphorated', 'morphein', 'marfin', 'morphine dosage', 'taking morphine orally', 'morfine', 'morphinr', 'morphine 30mg', 'eumorphia', 'psih', 'morphiene', 'morphine content', 'porphrin', 'mstx', 'morpholine', 'ovina', 'opium tincture', 'morphone', 'ms contin', 'morphine metabolites', 'morphine equivalent dosage', 'morohine', 'meadian', 'ms contins', 'kadians', 'pure morphine sulfate', 'morphine withdrawal syndrome', 'an oc80', 'nasal ba', 'mysid', 'morphia', 'endogenous morphine', 'morphine sulfate i', 'zomorph', 'oramorph', 'morpheine', 'mscontin', 'morhua', 'morphined', 'pca pump', 'stave off wds', 'syrette', 'mophine', 'msbi', 'er morphine pills', 'msicu', 'pca morphine', 'morphineC', 'roxanol', 'insuffalate', 'morphene', 'morphones', 'morhine', 'oral liquid morphine', 'kaian', 'moriphine', 'orphine', 'mortein', 'amorpha', 'roxinol', 'psin', 'anadian', 'morphine', 'q1hr', 'morphine analgesia', 'response to morphine', 'diamorph', 'morphien', 'as iv morphine', 'intranasal ba', 'oral morphine sucks', '3sih', 'avinza', 'severadol', 'morhpine', 'mouthin', 'oxymorph', 'osier', 'morfina', '20mg oral morphine', 'q4hr', 'morpine', 'vidian']"
codeine,"['dimatapp', 'codeins', 'methylphenid', 'careful mixing benzos', 'codeine sulfate', 'cough syrup lol', 'codeinone', 'somein', 'cough syrup with codeine', 'promethazine with codeine', 'coughsyrup', 'methylmorphine', 'mccodeine', 'codeine', 'pure codeine tablets', 'benydryll', 'buy codeine otc', 'dimetapp', 'panacod', 'deslym', 'cough syrup', 'codeiene', 'condeine', 'otc cough syrup', 'dxm cough syrup', 'otc codeine tablets', 'fiorinal with codeine', 'codeina', 'codinex', 'robotrippin', 'pure codeine pills', 'paracodein', 'relatively weak opioid', 'acodin', 'calmylin', 'codipront', 'acetametaphine', 'started taking codeine', 'codeines', 'pectoral', 'hordeine', 'coricedin', 'doctor prescribed codeine', 'zarbees', 'cheratussin ac', 'tylenol with codeine', 'cofeine', 'poppyseedtea', 'syrup lol', 'felt kinda gay', 'based painkillers', 'fioricet with codeine', 'codene', 'cofein', 'methylmorpholine', 'contein', 'taking nyquil', 'cherratussin', 'dymatap', 'zarbee', 'bottles of cough syrup', 'codéine', 'norcodeine', 'hordein', 'pure dxm syrup', 'codien', '300 mg codeine', 'benedryal', 'pure dxm', 'methylmorphinan', 'codeine addiction', 'nicocodeine', 'codein']"
hydromorphone,"['delauded', 'diluidid', 'mg iv dilaudid', 'dilaumed', 'dilaudud', 'dilaudid 8mg pills', 'exalgo', 'hydromorphon', 'diladud', 'dilluadid', 'dulaudid', 'hydromorohone', 'diuladid', '8mg dilaudids', 'norhydrocodone', 'hyromorphone', 'diluadid', 'jurnista', 'delaudid', 'diauldid', 'dillaudids', 'hydropmorphone', 'dilodid', 'diluaid', 'hydromorphcontin', 'dillauded', 'diludad', 'dilauda', 'dilaudid', 'dilauded', 'dihydromorphinone', 'dilaidid', 'hydromophone', 'dilaludid', 'diludid', 'palladone', 'diladids', 'diladuid', 'dialadid', '24 mg dilaudid', 'dillaudid', 'started shooting dilaudid', 'hydromorph contins', 'dilaudids', 'duladid', 'diladid', 'exalgos', 'dilaudd', 'hydomorphone', 'hydrmorphone', 'hydromorphs', 'dilaudin', '4mg dilaudid pills', 'dilaudid iv push', 'hydromorphine', 'higher bioavailability orally', 'hydromorphone hydrochloride', 'daulidid', 'hydromorph contin', 'hydromorphone', 'hydromorph', 'dalaudid', 'diaudid', 'dilautid', 'dilaudeds', 'hydromorpone', 'dialudid', '2mg dilaudid iv', '2mg iv dilaudid', 'dilauid', 'hyrdomorphone', 'hydromorphones', 'dialaudid']"
methadone,"['10mg methadone pills', 'mehadone', 'taking methadone daily', 'methodone', 'opioid replacement therapy', 'start taking methadone', 'started methadone maintenance', 'megafol', 'methalyne', 'methione', 'methaone', 'methaodne', 'methadrone', 'opioid maintenance', 'successfully taper', 'methadone maintenance patients', 'methadine', 'mutadone', 'polamidone', 'physeptone', 'methadone works wonders', 'methadone', 'dolophine', 'methanine', 'metadone', 'metadol', 'methadone treatment program', 'methadon', 'transmucosally', 'metadon', 'methaline', 'merhadone', 'methadose', 'methalene', 'methlyone', 'stopped taking methadone', 'opioid dependency', 'methadones', 'replacement drugs', 'methadone hcl', 'methadone clinics offer', 'polamidon', 'methadone substitution', 'sub induction', 'methadome', 'methedone', 'metahdone', 'stop taking methadone', 'methyone', 'methadone hydrochloride', 'pretty high dose of methadone', 'mathadone', 'methdone', 'methanone', 'methalone']"
oxycodone,"['120 mg oxycodone', 'mg oxycodone pills', 'oxy 10s', 'purdue pharma', 'ocycodone', 'oxycodone hcl', 'roxicet', 'crushing and snorting', 'oxy 80', 'oxycotton', 'oxy 10', 'oxyxontin', 'gyneo', 'oxy er', 'eukodal', 'oxycodone 10mg ir', 'roxicodones', 'oxecta', 'oxy ir 10mg', '80 mg oxycodone', 'oxyCit', 'percidae', 'oxycodene', 'reltebon', 'roxicodone', '80 mg oxycontin', 'oxycodein', 'op60s', 'oxy contin', 'round pills', 'endone', 'robaxicet', 'oxcodone', 'perocet', '30 mgs', 'oxycodne', 'endocets', 'oxicodone', 'oycodone', 'oxycontin 80mg', 'oxcycodone', '10mg irs', 'm365', 'precocet', 'targin', '5mg oxycodone ir', 'crushable ones', 'liquid oxy', 'oxyconton', 'oxycodon', 'percosett', '20mg oxy', 'oxyneos', 'oxy30', 'oxy ir', '2x8mg', 'targinact', 'oc60', 'opioids', 'oxycotin', '5mg pills', 'oxy 15s', 'perocets', 'oxycode', 'pecocets', 'oxycodone hydrochloride', 'ocycontin', 'oxycodine', '10mg oxy ir', 'mg percs', 'opiods', 'm523', 'percodan', 'superdol', '5mg percs', 'percocets', 'op20s', 'oxy 20s', '5mg hydro', 'oxy 5s', 'oxy 15', 'oxycondone', 'prescribed 60', 'oxy ir 20mg', '15mg oxy ir', 'oxycontins', 'percocrt', 'roxycontin', 'supedrol', 'mg er', 'percosets', '5mg oxy', 'oxyconten', ""10mg ir's"", '30mg pill', 'perc 10s', 'buy oxycodone', 'oxicontin', 'oxycodons', '10mg pills', 'abused prescription drug', 'percoset', 'superdoc', 'oxy10s', 'dialudids', 'oxy pills', 'oxy 30mg', 'oxycodone cr', 'oxyco', 'oxyneo', 'oxy80', '30mg instant', 'oxycottin', 'oxycodin', '30x80mg', '30mg pills', 'roxycotin', '40 mgs', 'roxicets', 'oxy script', '5mg oxy ir', '5mg oxycodone pills', 'roxicodine', '20mg pills', 'percoet', 'oxycocet', 'oxycodome', 'oxycodones', '15mg oxy', 'percoets', 'doctor prescribed oxycodone', 'oxycodone 10', 'ir oxys', 'percecet', 'endocet', 'oxcycontin', 'e712', '20mg er', 'x 30mg', 'percocete', 'oxycodone', 'oxydone', '10mg oxy', 'roxycodone', 'thedonrx', '10mg percocets', '30mg blues', 'oxycontine', '40 mg oxycodone', 'original oc 80s', 'oxycodeine', 'ip204', 'oxy ir 10s', 'oxycododone', 'ir oxycodone 30mg', 'percacet', 'endones', 'periodal', 'percocet', 'pure oxy powder', 'roxycodones', 'perkoset', 'oxycontin 80 mg', 'percaset', '20mg oxycodone pills', 'oxycoden', 'paracodin', 'oc40s', '30mg oxy ir', 'ir 10mg', 'oxyodone', 'crushed and snorted', 'roxicontin', '30mg extended release', '30mg er', 'oxy hcl', 'oxicotin', '10mg ir oxycodone', 'percocept', 'stopped taking percocet', 'oxyxodone', 'supeudol', 'oxyir', 'abuse resistant', 'oxyocodone', 'oxycodiene', 'oxy ir 30mg', 'oxyfast', 'oxycotins', 'oxcontin', 'percacets', 'perc 5', 'oxycotten', 'oxocodone', 'oxycoton', 'oxycontin']"
sufentanil,"['sufentanyl', 'sufentanil', 'sufent', 'sufenta']"
alfentanil,"['rapifen', 'ocfentanil', 'alfentanyl', 'alfentanil', 'rubifen', 'ocfentanyl']"
fentanyl,"['antiq', 'acitic', 'bactin', 'subsec', 'trandermal', 'fentenal', 'atii', 'fentayl', 'mbox30s', 'fentanyl laced dope', 'factit', 'fentanyl pca', 'phenacyl', 'accidentally overdose', 'fetanyl', 'fentora', 'intranasel', 'fentynal', 'fatal od', 'carbomethoxyfentanyl', 'buccal tablet', 'fentalyn', 'phentanyl', 'volumetrically dose', 'easily overdose', 'fentantyl', 'fentanyl patch', 'fentanil', 'fentanyly', 'fentanyl citrate', 'fentynyl', 'opioide', 'fentenyl', 'subops', 'dose volumetrically', 'volumetrically dosed', 'fentany', 'phentynol', 'matrix patches', 'sublingual spray', 'fentinal', 'fentonyl', 'attib', 'fentantly', 'aqtiqs', 'volumetrically dosing', 'fentanyl given', 'fentalyl', 'fentanly', 'subsys', 'fentanayl', 'fentanyls', 'phentanol', 'lahonda', 'fentatyl', 'fentanal', 'nostral', 'regular fentanyl hcl', 'overdose deaths involving', 'easy to overdose', 'duragesic', 'fentonal', 'fenanyl', 'sensora', 'fetynal', 'fetnyl', 'actiq', 'durogesic', 'zactin', 'fentanyl', 'prn fentanyl', 'matrix patch', 'fentinol', 'instanyl', 'opioides', 'laced dope', 'pharohfentanyl', 'abstral', 'fentnanyl', 'cti2', 'fentaynl', 'lazanda', 'fentenyal', 'fenatnyl', 'fetenyl', 'subsp', 'fentinyl', 'fantanyl', 'actief', 'fentnayl', 'antid', 'fentanyal', 'illegal street drug', 'fentnyl', 'fentanol', 'antib', 'funaryl', 'rostral', 'fentantl', 'fentenayl', 'fentalouges', 'lactin', 'fenantyl', 'fontanel', 'fentanyl cut dope']"
remifentanil,"['remifentanyl', 'remifentanil']"
